年,月,地域区分,データ区分,地域コード,地域名称,人数
2021,8,都道府県,観光来訪者数,23,愛知県,2468031
2021,8,都道府県,観光来訪者数,24,三重県,1319440
2021,8,都道府県,観光来訪者数,25,滋賀県,952616
2021,8,都道府県,観光来訪者数,26,京都府,1503507
2021,8,都道府県,観光来訪者数,27,大阪府,2362190
2021,8,都道府県,観光来訪者数,28,兵庫県,3207563
2021,8,都道府県,観光来訪者数,29,奈良県,809248
2021,8,都道府県,観光来訪者数,30,和歌山県,796328
2021,8,都道府県,観光来訪者数,31,鳥取県,370890
2021,8,都道府県,観光来訪者数,32,島根県,522990
2021,8,都道府県,観光来訪者数,33,岡山県,1035676
2021,8,都道府県,観光来訪者数,34,広島県,1085902
2021,8,都道府県,観光来訪者数,35,山口県,752803
2021,8,都道府県,観光来訪者数,36,徳島県,407156
2021,8,都道府県,観光来訪者数,37,香川県,363991
2021,8,都道府県,観光来訪者数,38,愛媛県,585475
2021,8,都道府県,観光来訪者数,39,高知県,396061
2021,8,都道府県,観光来訪者数,40,福岡県,1527251
2021,8,都道府県,観光来訪者数,41,佐賀県,393147
2021,8,都道府県,観光来訪者数,42,長崎県,381218
2021,8,都道府県,観光来訪者数,43,熊本県,931388
2021,8,都道府県,観光来訪者数,44,大分県,823051
2021,8,都道府県,観光来訪者数,45,宮崎県,517414
2021,8,都道府県,観光来訪者数,46,鹿児島県,551512
2021,8,都道府県,観光来訪者数,47,沖縄県,451686
2021,9,都道府県,観光来訪者数,1,北海道,2738160
2021,9,都道府県,観光来訪者数,2,青森県,563787
2021,9,都道府県,観光来訪者数,3,岩手県,625651
2021,9,都道府県,観光来訪者数,4,宮城県,1243494
2021,9,都道府県,観光来訪者数,5,秋田県,678526
2021,9,都道府県,観光来訪者数,6,山形県,744347
2021,9,都道府県,観光来訪者数,7,福島県,1154609
2021,9,都道府県,観光来訪者数,8,茨城県,1250320
2021,9,都道府県,観光来訪者数,9,栃木県,1691565
2021,9,都道府県,観光来訪者数,10,群馬県,1117961
2021,9,都道府県,観光来訪者数,11,埼玉県,1810034
2021,9,都道府県,観光来訪者数,12,千葉県,2664648
2021,9,都道府県,観光来訪者数,13,東京都,5735077
2021,9,都道府県,観光来訪者数,14,神奈川県,2207923
2021,9,都道府県,観光来訪者数,15,新潟県,1294419
2021,9,都道府県,観光来訪者数,16,富山県,364570
2021,9,都道府県,観光来訪者数,17,石川県,552531
2021,9,都道府県,観光来訪者数,18,福井県,444121
2021,9,都道府県,観光来訪者数,19,山梨県,1042019
2021,9,都道府県,観光来訪者数,20,長野県,1880923
2021,9,都道府県,観光来訪者数,21,岐阜県,1319136
2021,9,都道府県,観光来訪者数,22,静岡県,2336522
2021,9,都道府県,観光来訪者数,23,愛知県,2016424
2021,9,都道府県,観光来訪者数,24,三重県,847453
2021,9,都道府県,観光来訪者数,25,滋賀県,808378
2021,9,都道府県,観光来訪者数,26,京都府,1367080
2021,9,都道府県,観光来訪者数,27,大阪府,2249028
2021,9,都道府県,観光来訪者数,28,兵庫県,3046113
2021,9,都道府県,観光来訪者数,29,奈良県,816731
2021,9,都道府県,観光来訪者数,30,和歌山県,561345
2021,9,都道府県,観光来訪者数,31,鳥取県,357165
2021,9,都道府県,観光来訪者数,32,島根県,494134
2021,9,都道府県,観光来訪者数,33,岡山県,876430
2021,9,都道府県,観光来訪者数,34,広島県,1025220
2021,9,都道府県,観光来訪者数,35,山口県,675874
2021,9,都道府県,観光来訪者数,36,徳島県,334560
2021,9,都道府県,観光来訪者数,37,香川県,281769
2021,9,都道府県,観光来訪者数,38,愛媛県,500371
2021,9,都道府県,観光来訪者数,39,高知県,322694
2021,9,都道府県,観光来訪者数,40,福岡県,1571773
2021,9,都道府県,観光来訪者数,41,佐賀県,484105
2021,9,都道府県,観光来訪者数,42,長崎県,345351
2021,9,都道府県,観光来訪者数,43,熊本県,1106969
2021,9,都道府県,観光来訪者数,44,大分県,782507
2021,9,都道府県,観光来訪者数,45,宮崎県,454047
2021,9,都道府県,観光来訪者数,46,鹿児島県,476300
2021,9,都道府県,観光来訪者数,47,沖縄県,385090
